區名,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
中壢,11501459,12964467,11811326,11508471,11758438,11916681,12292776,12755877,12132710,11314511,12092051,12827704
湖口,27151568,34410566,27584183,27659096,25435655,28808825,28764517,30586587,28470851,25729453,28193674,30594566
泰安,41651912,57269919,43593051,44568149,40547826,45570855,45947031,48069365,43098134,38523371,42750405,45933646
西螺,42900174,58390302,46603263,47989551,44163906,50187781,50664558,53466992,47831562,43758574,45990076,47893265
新營,27829912,37460493,28750720,29005567,27003394,30064353,29516373,31903984,28635077,26690733,28366971,30514776
仁德,19670365,24669975,19476076,19748242,19140134,21652331,20831232,21545766,21151943,19120534,20906332,22296077
關西,49234083,63862362,50491543,49684812,45325855,51560523,54711035,57122374,50934322,47331586,51357738,55157671
西湖,30314804,44046863,20410836,20273448,16502642,17518291,25482278,38936990,37312177,33212508,34230009,33937183
清水,55522468,86125056,38824620,39069559,31287109,35178827,34715195,35209340,30824928,27119753,67348719,105685260
南投,25661407,41985756,30286941,29998694,26504924,31932743,30272941.18,32040928,30254869,26955159,28831637,29865092
古坑,27015796,43147898,29929611,29673558,25228354,30847726,28832957,31173839,30011322,27087537,29146111,31774839
東山,35469357,51233837,37661634,36684503,33545128,41805007,38922928,40319508,38075667,34472269,36286257,39583851
關廟,12082512,18993213,12551010,15160763,12510964,14529008,15172766,14808858,13846962,11784240,11809766,13223854
石碇,11033645,12999077,11333560,9047393,9908160,10693188,11886200,12432455,10765286,10048062,11323941,12628071
蘇澳,17202158,23594777,16761757,6921543,7045192,9397514,9603725,11029348,9733562,8294616,9794602,12011227
